Features,PC1,PC2,PC3,PC4,PC5
fr_aldehyde,0.0,0.0,0.0,0.0,0.0
fr_alkyl_carbamate,0.0508458733510161,0.07813033947060159,0.04940868247118707,0.01692938077652286,0.017573217729884058
fr_alkyl_halide,0.004583946536349308,0.0014273007282244537,0.000637147335426249,0.0035963721408368027,0.012188447394903792
fr_allylic_oxid,0.06200977882381907,0.10045929719042074,0.052526766945579534,0.057343730318447236,0.0725810525937658
fr_amide,0.4880518112061936,0.3842131258182782,0.1264300486060256,0.49457021480609226,0.03262237190509402
fr_amidine,0.006573979451118478,0.0019021179138893375,0.0027829584142487996,0.014638015784327399,0.04539603445733574
fr_aniline,0.059312988284544434,0.12124948411637154,0.0935478274598522,0.1591826800467513,0.3412368407670741
fr_aryl_methyl,0.05159930540969722,0.2033713372470615,0.07576404855983657,0.2740234567443313,0.011293997335851031
fr_azide,0.0,0.0,0.0,0.0,0.0
fr_azo,0.000747218478411739,0.000491471549002035,0.0003145543308029379,0.0006131105287791283,0.00022410055583934598
fr_barbitur,0.0007333356933812223,0.005515105921907481,0.006707968847552743,0.0028106244565382073,0.0002873191652849723
fr_benzene,0.22337861989339555,0.041186758886906524,0.8170914177858465,0.14562119498601636,0.2410011385531736
fr_benzodiazepine,0.007499867063237241,0.0021691817464899094,0.015531216413862521,0.006009240931384596,0.00915083235483631
fr_bicyclic,0.15229272539548427,0.2591422352538651,0.015905252252019914,0.14545378113207955,0.10858419312453824
fr_diazo,0.0,0.0,0.0,0.0,0.0
fr_dihydropyridine,0.01283372654841595,0.015089563272546328,0.02242943721092517,0.005351443566790131,0.0027995446950101056
fr_epoxide,0.0008819429419402435,0.0004090490080458802,0.0002858029517820363,0.0003839085828357868,0.0008828158782489135
fr_ester,0.020594387584378718,0.127926373643829,0.07781222293974818,0.10831524924006881,0.07385643988500507
fr_ether,0.11729866508321374,0.023543858995973808,0.016964232510555538,0.4887248473508329,0.14415371266342095
fr_furan,0.04962391983951155,0.009713007585115502,0.009938747426940073,0.005120673884784613,0.001636253011839755
fr_guanido,0.030035933437562504,0.048720149977776815,0.020344772735561276,0.11172589216009378,0.038389961113737825
fr_halogen,0.0652445311238249,0.07735050051895459,0.2514558415145194,0.11792255495221939,0.20001476085727526
fr_hdrzine,0.019375374236870586,0.012160318215899217,0.01118647465473178,0.018002186869123166,0.025400639480945012
fr_hdrzone,0.007186961924290794,0.016871985706984338,0.028990927743754426,0.013044787714257891,0.06415878583058901
fr_imidazole,0.04258555602458456,0.006358478742502517,0.0908016928901425,0.05141455424858613,0.1769471639032591
fr_imide,0.019056791274739728,0.03537810473481401,0.01626954561215499,0.021935912004423214,0.012036964182942197
fr_isocyan,0.0,0.0,0.0,0.0,0.0
fr_isothiocyan,0.0,0.0,0.0,0.0,0.0
fr_ketone,0.02110283788783568,0.06921076438976707,0.03701208097949263,0.06530707819538922,0.11253910640690502
fr_ketone_Topliss,0.02867930729666308,0.06058535580270443,0.026173464694570842,0.06693645301129107,0.11845907047996282
fr_lactam,0.0,0.0,0.0,0.0,0.0
fr_lactone,0.04056916397367369,0.001193134189548248,0.0025950792315443715,0.05587564275818373,0.0257565829104419
